 resource ,category,url,address,contactinfo,contactn1,contactp1,contacte1,contactn2,contactp2,contacte2,servicecapacity,serveshivonly,servemengt18,servesinglewomengt18,servefamilies,mustentersober,musthaveid,musthavebirthcertificate,musthavesscard,musthaveviableincome,acceptssexoffenders,requiresentityreferral,residencyrequirement,othereligibilityreq,whichcounty,involvedwithcoc,refereallsources,agencyservices,programservices,congregatestyle,sensitivetotransgender,programlength,servesvetsonly,doesservefamilies,cocmember,topreasonrejected,programtype,servicecap2,agesserved,acceptmales,acceptfemales,acceptpregorparentyouth,reqdrugtesting,birthcertreq,wintersvcdates,programmingtype,fundingcoc,otherhudfunding,programmingtype2,reqaperdocs,progsvchours
 12th & Park Shelter ,emergencyshelter,https://www.stlouis-mo.gov/events/eventdetails.cfm?Event_ID=7940,"1410 S Tucker Blvd, St. Louis, MO 63104",sign up at The Bridge,,,,,,,125 beds (*10 reserved for PD),false,true,false,n/a,false,false,false,false,false,false,false; sign up at The Bridge,false,,city,true,any sources,1pm-5:30pm sign up at The Bridge,6pm-6am,true,true,90days,,,,,,,,,,,,,,,,,,,
 Gateway 180 ,emergencyshelter,http://www.gateway180.org/,"1000 N. 19th St. St. Louis, MO 63106",,Kathleen Beach ,314-231-1515 ,kheinzbeach@gatewayhomeless.org,Sylvia Garrett ,314-231-1515 ,sgarrett@gatewayhomeless.org,174 beds,false,false,true,"true; family is any group that lived together as a family unit prior to being admitted. Verification is required (lease, mail, bill, etc.)",false,false,false,false,false,false,"true, United Way Housing Helpline",false,Individuals with violent criminal records are falset eligible,St. Louis City,"true, St. Louis City",CoC & web searches,"8:30a-7:00p, daily",24hrs (falset typically permitted in private rooms from 9am-5pm),"Some spaces are private, some spaces are shared",true,90 days,,,,,,,,,,,,,,,,,,,
 Loaves & Fishes Inc. ,emergencyshelter,http://loavesandfishes-stl.org/,"2750 McKelvey Rd, Maryland Heights, MO 63043",,Darie Gordy ,314-291-3857,,,,,"29 beds (21 for adults; 4 for infants, & 4 beds for children)",false,false,true,true; serves women & children only,"false, but will be asked to leave if causing a disturbance",false,false,false,false,false,HRC,true (mainly St Louis County with limited city beds),falsene,county,true,HRC,24hrs,24hrs,true (3 large dorm rooms),true,60days,,,,,,,,,,,,,,,,,,,
 Our Lady's Inn ,emergencyshelter,https://www.ourladysinn.org/,"4223 S. Compton, St. Louis, MO 6311",,Mary Laubengayer, 314-351-4590 ,mlaubengayer@ourladysinn.org,,,,18 families,false,false,true,true; HoH must be pregnant; can have up to 3 accompanying children at time of entry [false MEN],false,false,false,false,false,false,"true, United Way Housing Helpline",false,proof of pregnancy (can be at any stage of pregnancy),St. Louis City and St. Charles County,"true, St. Louis City and County, St. Charles County","Housing Helpline, web searches, community referrals, churches, schools, hospitals","8:00a-8:00p, daily",24hrs,false,false* pregnancy eligibility,90 days,,,,,,,,,,,,,,,,,,,
 Peter & Paul ,emergencyshelter,https://www.ppcsinc.org/,"2612 Wyoming St, St. Louis MO 63118",,Tom Burnham ,314-621-5520,ppcsinc@ppcsinc.org,Dan Hill ,314-621-5520,ppcsinc@ppcsinc.org,60 persons,false,true,false,false,false,false,false,false,false,true,HRC,false,falsene,city,true,"HRC, resource guides, outreach workers, websites",6pm-9pm daily,6pm-6:30am daily,true,true,90days,,,,,,,,,,,,,,,,,,,
 Room at The Inn ,emergencyshelter,http://www.roomstl.org/,"3415 Bridgeland Dr Bridgeton, MO 63044",,Angie Hamilton,314-209-9198,,,,,20 beds =persons,false,false,true- up to 6 beds,true; anyone presenting as a family at intake (families can also include men),"false, but will be asked to leave if causing a disturbance",false,false,false,false,false,HRC,false,"Clients w/ severe mental health issues should be engaged treatment and bring their medications with them when they arrive for intake. Curfew is at 4pm, and while we try to be flexible to accommodate work schedules, this can also be a barrier for our program.",county,true,HRC,7am-6pm; accept intakes util 4pm,"24hrs; 7am-5pm at day site, 5pm-7am at night sites",varies based on which site is hosting night shelter that evening,true,30+days,,,,,,,,,,,,,,,,,,,
 Saint Patrick Center- Women's Night ,emergencyshelter,http://www.stpatrickcenter.org/our-programs/shamrock-club-womens-night-program/,"800 N Tucker Blvd, St. Louis, MO 63101", ,Margaret Egan,314-802-2692,megan@stpatrickcenter.org,,,,20beds =person,false,false,tue,false,false,false,false,false,false,true,"HRC, mobile outreach & police",false,must attend MH &/or SA groups,city,true,"HRC, community providers, self referrals",,,,,,,,,,,,,,,,,,,,,,,,
 Salvation Army Family Haven ,emergencyshelter,http://www1.salvationarmy.org/uscsvcs.nsf/58473135acc2626286256bb40071f460/12856475913851df86256715005e1288!OpenDocument,"10740 Page Ave, St. Louis, MO 63132",,Kimberly Beck, 646-3154,,,,,"64beds- 6 beds for vets, 58 for women & families",false,true,true,true,"false, but if they are under the influence at intake they will be sent to be medically cleared",false,false,false,false,false,HRC (58beds); VA (6 vet beds),must be from city or county,,county,true,HRC & VA,24hrs &/or when HRC operates,24hrs,families are in individual rooms,true,90-120days,,,,,,,,,,,,,,,,,,,
 Humanitri ,transitional,http://humanitri.org/,"1447 E Grand Ave, St. Louis, MO 63107",,,�314-772-7720,,,,,�25 housing units/89 beds,false�,false,false�,,true�,true�,�true,true�,"true, or actively seeking employment�",�false,"Coordinated Intake Process, Emergency Shelters�",St. Louis�,�false,city,�true,"�Coordinated Intake process, Emergency Shelters, CoC, website, 211",�M-F 8am-4pm,�M-F 8am-4pm/ staff are on call for clients 24/7,�false,�true,up to 24 months�,,,,,,,,,,,,,,,,,,,
 Peter & Paul- Labre Center ,transitional,http://www.ppcsinc.org/labre_center_s/1837.htm,, ,Steve Smith,314-664-3927,smiths@ppcsinc.org,,,,15 beds,false,true,false,,false but must take a CBC and a UA before entry and be willing to remain sober or get help with substance issues to remain in program,false but helpful if they do.,false but helpful if they do.,false but helpful if they do.,false but rent will be charged if they do have ,false,BJC Behavioral Health or Places for People,false,Diagfalsesed with a mental illness. May also have coexisting substance abuse or other issues. ,city,true,"Mental health providers, community providers",Mon-Fri 9am-5pm by appointment,24hrs.,"private rooms but common bathrooms, dining, living, and laundry rooms.",true,24 months,,,,,,,,,,,,,,,,,,,
